,Date (MST),Date (MPT),Asset Short Name,Asset Name,Asset Grouping,Volume,Maximum Capability,System Capability,Fuel Type,Sub Fuel Type,Planning Area,Region,Asset Utilization
15528,2023-01-01 00:00:00,2023-01-01,BRK2,BRK2 Brooks Solar,BRK2,0.0,14.0,14.0,SOLAR,SOLAR,47,South,0.0
16272,2023-01-01 00:00:00,2023-01-01,BSC1,BSC1 Brooks Solar,BSC1,0.0,15.0,15.0,SOLAR,SOLAR,47,South,0.0
17016,2023-01-01 00:00:00,2023-01-01,BSR1,BSR1 Blackspring Ridge,BSR1,22.797721864912244,300.0,300.0,WIND,WIND,49,South,0.07599240621637415
17760,2023-01-01 00:00:00,2023-01-01,BTR1,BTR1 Blue Trail Wind,BTR1,38.33194377687242,66.0,66.0,WIND,WIND,53,South,0.5807870269223094
18504,2023-01-01 00:00:00,2023-01-01,BUL1,BUL1 Bull Creek,BUL1,0.7986432873209317,13.0,13.0,WIND,WIND,37,Central,0.06143409902468706
19248,2023-01-01 00:00:00,2023-01-01,BUL2,BUL2 Bull Creek,BUL2,2.207411491771539,16.0,16.0,WIND,WIND,37,Central,0.1379632182357212
19992,2023-01-01 00:00:00,2023-01-01,BUR1,BUR1 Burdett,BUR1,0.0,20.0,20.0,SOLAR,SOLAR,52,South,0.0
20736,2023-01-01 00:00:00,2023-01-01,CAL1,CAL1 CALP Gen #1,CAL1,-2.3084999417596395,330.0,330.0,GAS,COMBINED_CYCLE,6,Calgary,-0.006995454368968605
21480,2023-01-01 00:00:00,2023-01-01,CCMH,CCMH Cancarb Medicine Hat,CMH1,19.967808456420897,42.0,42.0,OTHER,Gas cogen,4,South,0.47542401086716424
22224,2023-01-01 00:00:00,2023-01-01,CHIN,CHIN Chin Chute,CHIN,0.0,15.0,15.0,HYDRO,HYDRO,54,South,0.0
22968,2023-01-01 00:00:00,2023-01-01,CL01,CL01 Christina Lake,CL01,47.679274029201935,100.0,100.0,GAS,COGENERATION,25,Northeast,0.47679274029201935
23712,2023-01-01 00:00:00,2023-01-01,CLR1,CLR1 Claresholm,CLR1,0.0,58.0,58.0,SOLAR,SOLAR,49,South,0.0
24456,2023-01-01 00:00:00,2023-01-01,CLR2,CLR2 Claresholm,CLR2,0.0,75.0,75.0,SOLAR,SOLAR,49,South,0.0
25200,2023-01-01 00:00:00,2023-01-01,CLY1,CLY1 Clydesdale 1,CLY1,0.0,41.0,41.0,SOLAR,SOLAR,52,South,0.0
25944,2023-01-01 00:00:00,2023-01-01,CLY2,CLY2 Clydesdale 2,CLY2,0.0,34.0,34.0,SOLAR,SOLAR,52,South,0.0
26688,2023-01-01 00:00:00,2023-01-01,CMH1,CMH1 Medicine Hat #1,CMH1,230.40332456800672,299.0,299.0,GAS,COMBINED_CYCLE,4,South,0.7705796808294539
27432,2023-01-01 00:00:00,2023-01-01,CNR5,CNR5 CNRL Horizon,CNR5,203.0631944015291,203.0,65.0,GAS,COGENERATION,25,Northeast,1.0003113024705867
28176,2023-01-01 00:00:00,2023-01-01,COD1,COD1 Coaldale,COD1,4.099999904632568,5.0,5.0,GAS,COGENERATION,54,South,0.8199999809265137
28920,2023-01-01 00:00:00,2023-01-01,COL1,COL1 Coaldale,COL1,0.0,23.0,23.0,SOLAR,SOLAR,54,South,0.0
29664,2023-01-01 00:00:00,2023-01-01,CR1,CR1 ARM2262 Castle River,CR1,15.86294505490197,39.0,39.0,WIND,WIND,53,South,0.4067421808949223
30408,2023-01-01 00:00:00,2023-01-01,CRD1,CRD1 Conrad,CRD1,0.0,23.0,23.0,SOLAR,SOLAR,52,South,0.0
31152,2023-01-01 00:00:00,2023-01-01,CRD2,CRD2 Conrad,CRD2,0.0,18.0,18.0,SOLAR,SOLAR,52,South,0.0
31896,2023-01-01 00:00:00,2023-01-01,CRE3,Cowley Ridge,CRE3,5.0559824260075885,20.0,20.0,WIND,WIND,53,South,0.2527991213003794
32640,2023-01-01 00:00:00,2023-01-01,CRG1,CRG1 Camrose Generator,CRG1,5.0,10.0,4.0,GAS,COGENERATION,31,Edmonton,0.5
33384,2023-01-01 00:00:00,2023-01-01,CRR1,CRR1 Enel Alberta Castle Rock Wind Farm,CRR1,35.07611809836494,77.0,77.0,WIND,WIND,53,South,0.45553400127746674
34128,2023-01-01 00:00:00,2023-01-01,CRR2,CRR2 Castle Rock Ridge 2,CRR2,20.817428710195752,29.0,29.0,WIND,WIND,53,South,0.7178423693170949
34872,2023-01-01 00:00:00,2023-01-01,CRS1,CRS1 Summit- Crossfield,CRS1,37.53683323966132,48.0,48.0,GAS,SIMPLE_CYCLE,6,Calgary,0.7820173591596108
35616,2023-01-01 00:00:00,2023-01-01,CRS2,CRS2 Summit- Crossfield,CRS2,0.0,48.0,48.0,GAS,SIMPLE_CYCLE,6,Calgary,0.0
36360,2023-01-01 00:00:00,2023-01-01,CRS3,CRS3 Summit- Crossfield,CRS3,0.0,48.0,48.0,GAS,SIMPLE_CYCLE,6,Calgary,0.0
37104,2023-01-01 00:00:00,2023-01-01,CYP1,CYP1 Cypress 1,CYP1,0.0,196.0,196.0,WIND,WIND,4,South,0.0
37848,2023-01-01 00:00:00,2023-01-01,CYP2,CYP2 Cypress 2,CYP2,0.2000000029802322,46.0,46.0,WIND,WIND,4,South,0.004347826151744179
38592,2023-01-01 00:00:00,2023-01-01,DAI1,DAI1 52MW Turbo Generator,DAI1,47.88299933751424,52.0,52.0,OTHER,Biomass,19,Northwest,0.9208269103368123
39336,2023-01-01 00:00:00,2023-01-01,DKSN,DKSN Dickson Dam,DKSN,4.586255818208059,15.0,15.3,HYDRO,HYDRO,39,Central,0.30575038788053727
40080,2023-01-01 00:00:00,2023-01-01,DOWG,DOWG Total Gen. & SR,DOWG,203.72033832126192,326.0,326.0,GAS,COGENERATION,33,Northeast,0.6249090132554047
40824,2023-01-01 00:00:00,2023-01-01,DRW1,DRW1 Drywood,DRW1,0.0,6.0,6.0,GAS,SIMPLE_CYCLE,55,South,0.0
41568,2023-01-01 00:00:00,2023-01-01,EAGL,EAGL Whitecourt Power,EAGL,22.92254067103068,25.0,25.0,OTHER,Biomass,26,Northwest,0.9169016268412272
42312,2023-01-01 00:00:00,2023-01-01,EC01,EC01 Cavalier,EC01,82.61520840168,120.0,120.0,GAS,COMBINED_CYCLE,45,South,0.6884600700139999
43056,2023-01-01 00:00:00,2023-01-01,EC04,EC04 EnCana Foster Creek,EC04,79.47855323791504,98.0,98.0,GAS,COGENERATION,28,Central,0.8110056452848473
43800,2023-01-01 00:00:00,2023-01-01,EGC1,EGC1 Shepard,EGC1,810.4313154432509,868.0,868.0,GAS,COMBINED_CYCLE,6,Calgary,0.9336766306949895
44544,2023-01-01 00:00:00,2023-01-01,ENC1,ENC1 Cloverbar #1,ENC1,0.0,48.0,48.0,GAS,SIMPLE_CYCLE,60,Edmonton,0.0
45288,2023-01-01 00:00:00,2023-01-01,ENC2,ENC2 Cloverbar #2,ENC2,0.0,101.0,101.0,GAS,SIMPLE_CYCLE,60,Edmonton,0.0
46032,2023-01-01 00:00:00,2023-01-01,ENC3,ENC3 Cloverbar #3,ENC3,78.08472044203016,101.0,101.0,GAS,SIMPLE_CYCLE,60,Edmonton,0.7731160439804966
46776,2023-01-01 00:00:00,2023-01-01,EPS1,EPS1 Empress,EPS1,43.04349948459201,46.0,0.0,GAS,COGENERATION,48,South,0.9357282496650438
47520,2023-01-01 00:00:00,2023-01-01,ERV1,ERV1 eReserve1 Rycroft,ERV1,0.0,20.0,20.0,ENERGY STORAGE,ENERGY STORAGE,20,Northwest,0.0
48264,2023-01-01 00:00:00,2023-01-01,ERV2,ERV2 eReserve2 Buffalo Creek,ERV2,0.0,20.0,20.0,ENERGY STORAGE,ENERGY STORAGE,32,Central,0.0
49008,2023-01-01 00:00:00,2023-01-01,ERV3,ERV3 eReserve3 Mercer Hill,ERV3,0.0,20.0,20.0,ENERGY STORAGE,ENERGY STORAGE,20,Northwest,0.0
49752,2023-01-16 00:00:00,2023-01-16,ERV5,ERV5 eReserve5 Hughenden,ERV5,0.0,20.0,20.0,ENERGY STORAGE,ENERGY STORAGE,37,Central,0.0
